model,model_type,split,output,r2,mae,rmse
aero_mlp_original12_common_qkhead_300k_hard40k,common,train,cx,0.9983485341072083,0.0005780707579106092,0.0011482859056928855
aero_mlp_original12_common_qkhead_300k_hard40k,common,train,cy,0.9994903802871704,0.010085374116897583,0.014688997442015742
aero_mlp_original12_common_qkhead_300k_hard40k,common,train,mz_ref,0.9986871480941772,0.036836713552474976,0.05335893158148952
aero_mlp_original12_common_qkhead_300k_hard40k,common,train,mx_beta,0.9974690675735474,4.608844028552994e-05,6.645197185111294e-05
aero_mlp_original12_common_qkhead_300k_hard40k,common,train,my_beta,0.9779282808303833,0.00013567607675213367,0.0005615544618323688
aero_mlp_original12_common_qkhead_300k_hard40k,common,train,K,0.9993025064468384,0.3315693438053131,0.4502889903944921
aero_mlp_original12_common_qkhead_300k_hard40k,common,val,cx,0.9979364275932312,0.0006267858552746475,0.0012837496902378938
aero_mlp_original12_common_qkhead_300k_hard40k,common,val,cy,0.9994627237319946,0.010240423493087292,0.015087047147475607
aero_mlp_original12_common_qkhead_300k_hard40k,common,val,mz_ref,0.9984098672866821,0.03855927288532257,0.058484175666823034
aero_mlp_original12_common_qkhead_300k_hard40k,common,val,mx_beta,0.9969586730003357,4.8563153541181237e-05,7.261196866741703e-05
aero_mlp_original12_common_qkhead_300k_hard40k,common,val,my_beta,0.9873186349868774,0.0001390631077811122,0.0004277503235815595
aero_mlp_original12_common_qkhead_300k_hard40k,common,val,K,0.9991416931152344,0.34340500831604004,0.5002965345819664
aero_mlp_original12_common_qkhead_300k_hard40k,common,test,cx,0.9978893399238586,0.0006221177172847092,0.0012901183347157025
aero_mlp_original12_common_qkhead_300k_hard40k,common,test,cy,0.9994769096374512,0.010218093171715736,0.014858567083801318
aero_mlp_original12_common_qkhead_300k_hard40k,common,test,mz_ref,0.9984468221664429,0.038402460515499115,0.05826191916832515
aero_mlp_original12_common_qkhead_300k_hard40k,common,test,mx_beta,0.997209370136261,4.813374107470736e-05,6.99156163214309e-05
aero_mlp_original12_common_qkhead_300k_hard40k,common,test,my_beta,0.9772396087646484,0.0001401264889864251,0.0005716992173061283
aero_mlp_original12_common_qkhead_300k_hard40k,common,test,K,0.9992520213127136,0.34107354283332825,0.46733101008940164
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,train,cx,0.9986782670021057,0.0005667198565788567,0.0010400509822238245
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,train,cy,0.9995241165161133,0.010205397382378578,0.014622610390876773
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,train,mz_ref,0.999017059803009,0.0265074260532856,0.039007857967299026
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,train,mx_beta,0.9984991550445557,4.019037078251131e-05,5.722055211655667e-05
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,train,my_beta,0.9953926205635071,9.92448694887571e-05,0.00023947953554780355
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,train,K,0.9993242621421814,0.34632283449172974,0.46933973090979925
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,val,cx,0.9977883696556091,0.0006379220285452902,0.0013432941152008437
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,val,cy,0.9994878172874451,0.010462203063070774,0.015174607763308241
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,val,mz_ref,0.998895525932312,0.02754148282110691,0.04131271981990234
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,val,mx_beta,0.9982361793518066,4.30038599006366e-05,6.226392744979055e-05
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,val,my_beta,0.9868918657302856,0.0001160351384896785,0.0004045344011977212
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,val,K,0.9992713332176208,0.358999103307724,0.4875196086167798
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,test,cx,0.997747004032135,0.0006301514804363251,0.001318928993702503
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,test,cy,0.9994807839393616,0.01034498866647482,0.015195700878289158
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,test,mz_ref,0.9988259673118591,0.027539661154150963,0.04223724733576189
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,test,mx_beta,0.9982624650001526,4.2584273614920676e-05,6.149906904725926e-05
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,test,my_beta,0.9800267815589905,0.00011873646144522354,0.0005038815775094665
aero_mlp_original12_normal_qkhead_300k_hard40k,normal,test,K,0.999284565448761,0.35590285062789917,0.4848655247324261
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,train,cx,0.9988497495651245,0.0005232795956544578,0.0009402639042176597
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,train,cy,0.9994247555732727,0.010351906530559063,0.01478153892678531
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,train,mz_ref,0.9991196393966675,0.03645433112978935,0.05162301143327361
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,train,mx_beta,0.9978658556938171,2.98671584459953e-05,4.25956189290949e-05
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,train,my_beta,0.9937353730201721,0.0001387153606628999,0.000323778761705595
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,train,K,0.9994794726371765,0.26217544078826904,0.3483583668371046
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,val,cx,0.997902512550354,0.0005992663791403174,0.0012654667957688714
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,val,cy,0.999366044998169,0.010634326376020908,0.015515755337913691
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,val,mz_ref,0.9990537762641907,0.03755330666899681,0.05310656853659775
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,val,mx_beta,0.9974488019943237,3.164572626701556e-05,4.676163164654232e-05
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,val,my_beta,0.9792873859405518,0.00015591087867505848,0.000562342528477814
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,val,K,0.9994256496429443,0.2729293406009674,0.36566874739583194
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,test,cx,0.9975051879882812,0.000608185597229749,0.0014087044013197088
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,test,cy,0.999360978603363,0.010767720639705658,0.015758086387788823
aero_mlp_original12_duck_qkhead_300k_hard40k,duck,test,mz_ref,0.9988951086997986,0.03895159065723419,0.05855325849480403
