,cx,cy,mz_ref,mx_beta,my_beta,K
f_aspect,-0.24051869232097667,0.03554782260464153,-0.046662582399112494,0.020846833456042442,0.1193732287196579,0.06619500011290545
f_sweep,0.11132168630102916,-0.027502928336778146,0.010419163505101497,-0.08042630764511705,0.02367414056463623,-0.044667015852335644
f_taper,0.005709939292050874,-0.0012321927063663116,0.003820705584891143,0.011008303181988272,-0.014072520656380231,-0.0026057072759591996
f_twist,0.01429191106374126,0.05717958641386374,-0.017712754079660945,-0.05784453719634889,0.0003430808776827063,0.044614477138829066
a_aspect,0.16091357855921837,-0.02948137638335543,0.033637185884957975,-0.020136318197092582,0.07721010621663545,-0.05877422798211562
a_sweep,-0.02534443195886495,0.0011004076678631336,-0.028135869096118097,-0.06433763261971259,-0.007073812203865268,0.0010325924476249043
a_taper,0.0016044973756937245,-0.0029616426802152244,0.0026289917474085584,0.013282447135899636,-0.00455269444584674,-0.0022443664773440937
a_twist,0.014510892870145157,0.05070917203397758,-0.09106899953455573,0.00591793709693739,-0.0010818190664680237,0.025589068339913236
a_x_loc,0.0026678968560344264,0.0016917266564413374,-0.0348227398048488,-0.004288805647963269,-0.2696565029744029,-0.00021223790999925498
a_S_rel,0.044050841780383806,0.015736670866920273,-0.14287839636572197,-0.1600266196018233,-0.18368892102368814,-0.003958448374871074
v_aspect,-0.000573945073307055,-0.0022159381997451976,0.0033863045651026337,-0.06044060102387384,-0.08585471005384702,-0.003428195067366591
v_S_rel,0.009145647528104057,0.004206084034187214,0.001034800181891741,-0.1381595781984922,-0.25022879694102146,0.003542718650742702
scheme_fuse,-0.044328857646197185,0.007880381529266829,-0.01821175544691448,-0.01285816674906076,-0.05928453561544223,0.012786534438320523
scheme_vertical,0.006030699869577489,0.0018027424488662874,0.0016777799151490617,0.19593728696297433,0.0002893294532269904,-0.002580776563377956
a_dihedral_mag,-0.06843925937168366,-0.014130922063383003,0.0938934325170445,0.21515229005513523,0.0261101096212007,-0.0019804354221455637
S_ref,-0.3793030432614738,0.02558113956475526,-0.02140736899156228,0.053302688958568725,-0.2722080967834563,0.06538033071048985
V,0.2446259495972719,-0.023777577080562613,0.007798348336343062,-0.04723514622959745,0.00594357383753502,-0.05934146905110849
H,0.26077184641683177,-0.025888467565815358,0.040082600443694674,-0.01786814447336425,0.04738295351534021,-0.05644489009618668
alpha,0.18822058262118013,0.983812595826198,-0.8738057863734738,-0.31682473538910555,-0.0358003333937153,0.8031699834919132
delta,0.03035902471192138,0.054695029432027926,-0.046471786240285466,0.021827089219138104,0.017657261330871962,-0.011027266373786444
