,cx,cy,mz_ref,mx_beta,my_beta,K
f_aspect,-0.16875036080702466,0.037211678726451355,-0.042126419581621805,0.0917785553127725,-0.12552883429036366,0.05333178695755049
f_sweep,0.10838245761094263,-0.03229763329333267,0.03825747307452787,-0.06596019249733971,0.09439817306860826,-0.0494351038165664
f_taper,0.0028539830703921557,0.0019312970268450822,-0.0020167466657664995,-0.0032948380080338657,-0.004443643690515681,-0.0019121042841556703
f_twist,0.007366992341960827,0.03195200200189268,0.013114522849305778,0.010694662154439724,-0.0012464468205381713,0.01860637171923307
a_aspect,0.09479058022087757,-0.033925922244368814,0.034551651082901126,-0.09583536826359788,0.3014262203802933,-0.05001103664089113
a_sweep,-0.02467965968501689,-0.00601615605190765,-0.048833059232178073,-0.2360432603205561,-0.01306166695877252,-0.009249405270574771
a_taper,-0.001198778255309039,-0.0031459392774514875,0.0015040091873910187,0.045942586879315434,-0.024385635542587502,-0.0037315269524984865
a_twist,0.032368812053854626,0.07636262538761641,-0.11582267147503596,0.015276990506344559,-0.0015660463852013667,0.045677547080060964
a_x_loc,0.0005865094508670486,0.0006255984051317318,-0.08513803611799946,-0.0006481614126881626,-0.2866928172382362,-0.0005195992413098451
a_S_rel,-0.24252408903859562,0.006997925876963481,-0.021212213235057634,0.1538551898429628,-0.15614000712358103,0.018116834337898697
v_aspect,0.000297575700688723,0.0028298433620090823,-0.0038409521392607474,-0.16214921461495266,-0.15667615334730395,0.003218755477380224
v_S_rel,0.017961547416949587,0.01190002181778587,-0.010876172718750627,-0.365775225592577,-0.4563445254095045,0.01204267491728486
scheme_fuse,-0.047388446307416045,0.009906580765271816,-0.010070793094650584,-0.0135186626999598,-0.05001776564175202,0.016309322834580094
scheme_vertical,,,,,,
a_dihedral_mag,0.2754078419431862,0.01939179021700834,-0.025009032986793356,-0.4656032046352098,0.15601613875522302,0.004372306169698447
S_ref,-0.3917724599619402,0.022885338287637193,-0.024679144510996488,0.18989497132199942,-0.38304809970534115,0.05575382607923154
V,0.21332624323389354,-0.029111133932905472,0.029510944082549596,-0.11352441223593482,0.11818633496089893,-0.056908891279396
H,0.26821463590375466,-0.03217193178173825,0.03739645482407112,-0.13668272645328597,0.1274858417947957,-0.05966002443734337
alpha,0.22300266609277725,0.9866519563710329,-0.9101231873834699,-0.006908920035973245,-0.05515898674411733,0.8302513279991564
delta,0.019754227432362076,-0.008145443225351174,0.13156969720826298,0.0469011303062342,0.040847399397846325,-0.0722035183166844
