,cx,cy,mz_ref,mx_beta,my_beta,K
f_aspect,-0.28465156403250724,0.031017559633735564,-0.02843640833030767,0.019502953156542775,0.30483777154036296,0.07085956704727668
f_sweep,0.11607348099912596,-0.020798991530533134,-0.039730074377870905,-0.11653958382847356,-0.04237389117571618,-0.04026606540961047
f_taper,0.0074252104766152445,-0.003030549418729329,0.009059390934602484,0.017174213056188905,-0.021186574576006065,-0.0029805370253797457
f_twist,0.018451553127060906,0.07161198396230414,-0.04524310930011572,-0.08769372250658246,0.0014823838481150954,0.05839581886079093
a_aspect,0.2023929008046679,-0.022783133509482422,0.00572902117508576,-0.020931315258904067,-0.09326353107632802,-0.061151396074836974
a_sweep,-0.026699857976310387,0.0030638898068547854,-0.0019241408482018076,0.00416331613362908,0.004510279779170202,0.004992240547730367
a_taper,0.0032868707079844834,-0.002862899646596451,0.003736819198101775,0.0015341598175951166,0.00951949965194254,-0.0014806515978005017
a_twist,0.0038016563455393845,0.036246855498176266,-0.07442454185702393,0.0026789463219445814,-0.0007552866883968451,0.015248415326471376
a_x_loc,0.003917472268953401,0.002300044597660863,0.0068054136478354265,-0.00594689850940511,-0.26219020687187766,-5.321321087559274e-05
a_S_rel,0.23203818219412511,-0.0447949077004349,0.03333285042073922,0.016524339790624884,-0.1853338263367927,-0.07569014076607694
v_aspect,-0.000554128288532267,-0.004021847291170649,0.003171899165071346,-0.03169842482478516,-0.04242534983541149,-0.006270870899661374
v_S_rel,0.005115469916246582,0.0020018107073390768,-0.0019900818333812354,-0.07355331659356487,-0.1222444166162237,0.00040615923257014366
scheme_fuse,-0.044535861190323274,0.0034679496308092166,-0.004324102575153742,0.006890441567273168,-0.052312093925031306,0.009229250317123511
scheme_vertical,0.007269255708248024,0.0016181672447855323,0.006475628576402145,0.2263895483308526,0.003069574165505692,-0.0034402854109209925
a_dihedral_mag,-0.1192721993864617,0.005332888991119524,-0.006627514781770413,0.16164492088018498,-0.10040649239884411,0.013035238583095526
S_ref,-0.3725299029829891,0.02626172852690703,-0.013556791596342394,0.009184892726859812,-0.19272529654344256,0.07032962653746573
V,0.260614449302199,-0.024377047336365067,0.012328193127848339,-0.009121477001708438,-0.04854010032239044,-0.062344936553821555
H,0.26698384952255894,-0.016748669364820827,0.002001420188307977,-0.023396357802795132,-0.025790339987055114,-0.052237002323912075
alpha,0.16900273652168193,0.9824202451451086,-0.8953775235607974,-0.4296863082923959,-0.01756632943228204,0.7909388608943917
delta,0.0379828626843533,0.09346881887826376,-0.21913675095224905,0.0016159705899505751,-0.0075820132513229645,0.022694005496856916
